Track,,Nearest Neighbor,,Distance
225,3(disco),682,9(rock),1.3653251174066288
226,3(disco),824,2(country),1.8042110475740865
227,3(disco),788,4(hiphop),1.920031244053913
228,3(disco),820,2(country),1.5159577379912827
229,3(disco),826,2(country),1.9932952124641572
230,3(disco),605,9(rock),1.4431967088566136
231,3(disco),607,9(rock),2.9046535307029275
232,3(disco),613,9(rock),2.6295736760021873
233,3(disco),782,4(hiphop),1.6109498487505247
234,3(disco),689,9(rock),1.4876235911119213
235,3(disco),457,8(reggae),1.753509051815862
236,3(disco),276,3(disco),1.9832670625279427
237,3(disco),618,9(rock),2.7261497560292125
238,3(disco),292,3(disco),2.3715268100088283
239,3(disco),493,8(reggae),1.9086861205291756
240,3(disco),788,4(hiphop),1.8545266919830696
241,3(disco),262,3(disco),1.8843488444801466
242,3(disco),789,4(hiphop),1.5991291336738194
243,3(disco),295,3(disco),2.8403447168912694
244,3(disco),689,9(rock),1.473304738933736
245,3(disco),410,8(reggae),3.3291062263540905
246,3(disco),242,3(disco),1.9159591779961194
247,3(disco),241,3(disco),2.442062397030573
248,3(disco),646,9(rock),1.913432573217787
249,3(disco),254,3(disco),2.538095856284681
250,3(disco),200,3(disco),1.851556268787397
251,3(disco),236,3(disco),2.0589396527267625
252,3(disco),804,2(country),1.345790348403014
253,3(disco),826,2(country),1.8870747297089239
254,3(disco),275,3(disco),2.06569694959618
255,3(disco),647,9(rock),1.434764983933099
256,3(disco),603,9(rock),1.532049520354078
257,3(disco),276,3(disco),2.389697373364686
258,3(disco),286,3(disco),1.8994939793205536
259,3(disco),877,2(country),1.788558054922612
260,3(disco),835,2(country),1.6910850092661336
261,3(disco),715,4(hiphop),2.6512016709177106
262,3(disco),241,3(disco),1.8843488444801466
263,3(disco),266,3(disco),2.096263885213723
264,3(disco),714,4(hiphop),2.0222230289398584
265,3(disco),209,3(disco),2.0949841086359884
266,3(disco),25,7(pop),1.8970666454009777
267,3(disco),831,2(country),1.6269290904490386
268,3(disco),56,7(pop),2.2355114490021926
269,3(disco),499,8(reggae),2.925572787582241
270,3(disco),31,7(pop),1.8706938122039938
271,3(disco),52,7(pop),1.974239176953022
272,3(disco),665,9(rock),2.3999719034480145
273,3(disco),211,3(disco),2.17864082942041
274,3(disco),691,9(rock),1.860906194986353
275,3(disco),254,3(disco),2.06569694959618
276,3(disco),175,6(metal),1.9051342267760902
277,3(disco),234,3(disco),1.5684752924070162
278,3(disco),279,3(disco),0.0008487041291444035
279,3(disco),278,3(disco),0.0008487041291444035
280,3(disco),288,3(disco),1.5421156229886102
281,3(disco),638,9(rock),1.9280289105515813
282,3(disco),756,4(hiphop),2.6427924253488446
283,3(disco),209,3(disco),1.1896574226198666
284,3(disco),635,9(rock),1.3609615303074902
285,3(disco),685,9(rock),2.1593420729096113
286,3(disco),291,3(disco),1.5552212503124347
287,3(disco),781,4(hiphop),1.7906124562895902
288,3(disco),280,3(disco),1.5421156229886102
289,3(disco),268,3(disco),2.727973181223972
290,3(disco),841,2(country),1.2201046304058882
291,3(disco),209,3(disco),1.5235255699422838
292,3(disco),96,7(pop),1.3577084752549373
293,3(disco),743,4(hiphop),1.6736288643788166
294,3(disco),277,3(disco),2.3999192112502934
295,3(disco),713,4(hiphop),2.6490814147539377
296,3(disco),682,9(rock),1.0703142160385373
297,3(disco),130,6(metal),1.9165808966081206
298,3(disco),730,4(hiphop),2.7294189347938946
299,3(disco),682,9(rock),1.6317425233339404
300,0(blues),316,0(blues),2.295855839674035
301,0(blues),317,0(blues),1.457307111058771
302,0(blues),322,0(blues),1.1785868448543788
303,0(blues),323,0(blues),1.5510782309924105
304,0(blues),688,9(rock),1.2087185754185235
305,0(blues),698,9(rock),1.422300417314533
306,0(blues),315,0(blues),2.353847613610179
307,0(blues),895,2(country),1.7010525955062163
308,0(blues),371,0(blues),2.1035649612313305
309,0(blues),308,0(blues),2.433811233043068
310,0(blues),390,0(blues),1.9021300768040592
311,0(blues),301,0(blues),1.613668859868877
312,0(blues),878,2(country),2.1303468242983716
313,0(blues),329,0(blues),1.874823602842492
314,0(blues),607,9(rock),1.8746531375644324
315,0(blues),600,9(rock),2.286451955650602
316,0(blues),339,0(blues),2.0379500687821257
317,0(blues),301,0(blues),1.457307111058771
318,0(blues),304,0(blues),1.487986134904791
319,0(blues),943,5(jazz),2.1390612628198764
320,0(blues),128,6(metal),2.2952965052164824
321,0(blues),874,2(country),1.589500903307881
322,0(blues),302,0(blues),1.1785868448543788
323,0(blues),292,3(disco),1.5481331319792595
324,0(blues),610,9(rock),1.695923452591295
325,0(blues),951,5(jazz),1.986701240113406
326,0(blues),887,2(country),1.7608380818039384
327,0(blues),252,3(disco),1.6152586381189928
328,0(blues),377,0(blues),1.8801489310118846
329,0(blues),378,0(blues),1.6853089962391095
330,0(blues),394,0(blues),1.5356854940364761
331,0(blues),866,2(country),1.6907140454848153
332,0(blues),396,0(blues),0.9609195141355391
333,0(blues),376,0(blues),1.7339295780031772
334,0(blues),234,3(disco),1.5982346382818575
335,0(blues),479,8(reggae),1.572003705459385
336,0(blues),341,0(blues),0.8961931479158572
337,0(blues),356,0(blues),1.7207173639191393
338,0(blues),340,0(blues),1.575281995266929
339,0(blues),316,0(blues),2.0379500687821257
340,0(blues),345,0(blues),1.4113576882457148
341,0(blues),336,0(blues),0.8961931479158572
342,0(blues),353,0(blues),1.6764118261797956
343,0(blues),350,0(blues),1.6014711645612325
344,0(blues),349,0(blues),1.6053464843401204
345,0(blues),340,0(blues),1.4113576882457148
346,0(blues),360,0(blues),2.4101779261534295
347,0(blues),366,0(blues),1.7326123917149745
348,0(blues),363,0(blues),1.3009012981417576
349,0(blues),344,0(blues),1.6053464843401204
350,0(blues),343,0(blues),1.6014711645612325
351,0(blues),642,9(rock),1.6914821299570932
352,0(blues),341,0(blues),2.3058945703841025
353,0(blues),343,0(blues),1.6236380625447493
354,0(blues),359,0(blues),1.4277719299274583
355,0(blues),466,8(reggae),3.50698025808482
356,0(blues),354,0(blues),1.561111819275714
357,0(blues),613,9(rock),3.1681278483280804
358,0(blues),317,0(blues),1.966746259604354
359,0(blues),354,0(blues),1.4277719299274583
360,0(blues),907,5(jazz),2.2313711332262223
361,0(blues),370,0(blues),2.285808370112833
362,0(blues),336,0(blues),2.495986625726782
363,0(blues),336,0(blues),1.2722448468513465
364,0(blues),346,0(blues),2.4464764471116767
365,0(blues),557,1(classical),2.103348519145048
366,0(blues),340,0(blues),1.6533560680179926
367,0(blues),890,2(country),1.5601245974131064
368,0(blues),733,4(hiphop),4.33460152105691
369,0(blues),375,0(blues),1.3529846378342232
370,0(blues),371,0(blues),2.0466795314475967
371,0(blues),311,0(blues),1.8621708327981958
372,0(blues),345,0(blues),1.462131753469687
373,0(blues),971,5(jazz),1.9785724748775675
374,0(blues),856,2(country),2.4854983189231796
375,0(blues),369,0(blues),1.3529846378342232
376,0(blues),380,0(blues),1.430474070186155
377,0(blues),389,0(blues),1.591303963545847
378,0(blues),329,0(blues),1.6853089962391095
379,0(blues),893,2(country),1.7037852080526497
380,0(blues),376,0(blues),1.430474070186155
381,0(blues),386,0(blues),1.6381019406882589
382,0(blues),924,5(jazz),1.5073202828285754
383,0(blues),252,3(disco),1.6305290532270431
384,0(blues),376,0(blues),2.153570444102479
385,0(blues),892,2(country),1.6533915348776156
386,0(blues),644,9(rock),1.520148381001205
387,0(blues),296,3(disco),1.120458427753559
388,0(blues),600,9(rock),1.8203033598876568
389,0(blues),377,0(blues),1.591303963545847
390,0(blues),304,0(blues),1.2829989558919375
391,0(blues),686,9(rock),1.8006111417356552
392,0(blues),383,0(blues),2.028822069341785
393,0(blues),309,0(blues),2.7880706144357115
394,0(blues),296,3(disco),1.3338948202840746
395,0(blues),864,2(country),1.2738038341440805
396,0(blues),332,0(blues),0.9609195141355391
397,0(blues),147,6(metal),1.8779547206179599
398,0(blues),635,9(rock),2.444360287605128
399,0(blues),363,0(blues),2.118929609476295
400,8(reggae),416,8(reggae),0.9252734409130096
401,8(reggae),390,0(blues),1.9681599913318861
402,8(reggae),992,5(jazz),1.4320517529902652
403,8(reggae),404,8(reggae),1.2730269230805527
404,8(reggae),403,8(reggae),1.2730269230805527
405,8(reggae),847,2(country),2.4363391081278953
406,8(reggae),635,9(rock),2.0897190396901313
407,8(reggae),416,8(reggae),0.0015783959192042995
408,8(reggae),893,2(country),1.6706334109622605
409,8(reggae),803,2(country),2.051847624743785
410,8(reggae),488,8(reggae),2.5721525933540414
411,8(reggae),746,4(hiphop),3.152068052671053
412,8(reggae),404,8(reggae),1.6904652246089389
413,8(reggae),414,8(reggae),2.3593164335413523
414,8(reggae),413,8(reggae),2.3593164335413523
415,8(reggae),778,4(hiphop),2.800364891781716
416,8(reggae),407,8(reggae),0.0015783959192042995
417,8(reggae),428,8(reggae),2.960571758935716
418,8(reggae),429,8(reggae),0.4185171799024124
419,8(reggae),61,7(pop),5.949366451373503
420,8(reggae),434,8(reggae),4.148608048605735
421,8(reggae),51,7(pop),10.002732307402702
422,8(reggae),66,7(pop),3.287524376758288
423,8(reggae),704,4(hiphop),1.922582139258383
424,8(reggae),772,4(hiphop),2.5198465782954376
425,8(reggae),704,4(hiphop),2.092025496151129
426,8(reggae),424,8(reggae),2.647203303174831
427,8(reggae),467,8(reggae),2.113657223421361
428,8(reggae),447,8(reggae),2.813549693474821
429,8(reggae),418,8(reggae),0.4185171799024124
430,8(reggae),79,7(pop),2.4681365490658416
431,8(reggae),739,4(hiphop),2.8211436915202968
432,8(reggae),477,8(reggae),2.692912977809268
433,8(reggae),742,4(hiphop),2.931453657130638
434,8(reggae),772,4(hiphop),2.242503855337669
435,8(reggae),47,7(pop),1.9078270372527164
436,8(reggae),467,8(reggae),1.7202280663007057
437,8(reggae),458,8(reggae),1.665952157337855
438,8(reggae),474,8(reggae),1.3646707543485546
439,8(reggae),466,8(reggae),2.2014316972065755
440,8(reggae),452,8(reggae),2.1689262590975824
441,8(reggae),214,3(disco),1.3515687172767339
442,8(reggae),453,8(reggae),2.854801673921791
443,8(reggae),233,3(disco),2.2803691228124756
444,8(reggae),462,8(reggae),1.745625118875882
445,8(reggae),440,8(reggae),2.3134103830000434
446,8(reggae),449,8(reggae),2.225856905104424
447,8(reggae),438,8(reggae),1.7187329329007521
448,8(reggae),779,4(hiphop),3.4026949293090207
449,8(reggae),453,8(reggae),2.19983122537788
450,8(reggae),451,8(reggae),2.013372213092864
451,8(reggae),450,8(reggae),2.013372213092864
452,8(reggae),437,8(reggae),2.1505584577190424
453,8(reggae),449,8(reggae),2.19983122537788
454,8(reggae),467,8(reggae),1.7029188466694218
455,8(reggae),454,8(reggae),1.7797824624165541
456,8(reggae),694,9(rock),1.7934412780714442
457,8(reggae),235,3(disco),1.753509051815862
458,8(reggae),437,8(reggae),1.665952157337855
459,8(reggae),453,8(reggae),2.3552242685362472
460,8(reggae),466,8(reggae),1.784306073865254
461,8(reggae),217,3(disco),1.8119493438094636
462,8(reggae),894,2(country),1.3653845956878676
463,8(reggae),779,4(hiphop),3.140120463562129
464,8(reggae),412,8(reggae),2.299079442745711
465,8(reggae),447,8(reggae),1.926897784107697
466,8(reggae),460,8(reggae),1.784306073865254
467,8(reggae),454,8(reggae),1.7029188466694218
468,8(reggae),438,8(reggae),1.6670164839333868
469,8(reggae),488,8(reggae),2.406392102104196
470,8(reggae),446,8(reggae),2.5852079735562756
471,8(reggae),467,8(reggae),2.142671646082986
472,8(reggae),486,8(reggae),1.4184950248160528
473,8(reggae),440,8(reggae),2.7187190924812126
474,8(reggae),438,8(reggae),1.3646707543485546
475,8(reggae),733,4(hiphop),3.8831820248292317
476,8(reggae),741,4(hiphop),14.155921185412758
477,8(reggae),607,9(rock),2.1524488432671385
478,8(reggae),738,4(hiphop),3.031378849927727
479,8(reggae),335,0(blues),1.572003705459385
480,8(reggae),864,2(country),1.7251680472738156
481,8(reggae),65,7(pop),2.7593360673011893
482,8(reggae),429,8(reggae),1.4325676549891528
483,8(reggae),17,7(pop),2.2724086123635936
484,8(reggae),806,2(country),2.009198805618772
485,8(reggae),839,2(country),2.1633587426239402
486,8(reggae),472,8(reggae),1.4184950248160528
487,8(reggae),496,8(reggae),0.21336221188960539
488,8(reggae),469,8(reggae),2.406392102104196
489,8(reggae),479,8(reggae),1.9666783555303384
490,8(reggae),242,3(disco),3.086696806646901
491,8(reggae),404,8(reggae),2.834302885240144
492,8(reggae),38,7(pop),3.4517304052706037
493,8(reggae),239,3(disco),1.9086861205291756
494,8(reggae),444,8(reggae),2.4471072171720185
495,8(reggae),301,0(blues),1.8339380055422538
496,8(reggae),487,8(reggae),0.21336221188960539
497,8(reggae),483,8(reggae),2.473263707164125
498,8(reggae),467,8(reggae),2.2475379628145067
499,8(reggae),714,4(hiphop),2.607494907808249
500,1(classical),580,1(classical),1.1982248735600192
501,1(classical),543,1(classical),1.416143521243876
502,1(classical),904,5(jazz),1.5938948467978158
503,1(classical),555,1(classical),1.188694294803954
504,1(classical),505,1(classical),3.443875709064871
505,1(classical),570,1(classical),2.300117712618477
506,1(classical),529,1(classical),1.1707337154281627
507,1(classical),966,5(jazz),1.4491766106930664
508,1(classical),591,1(classical),2.113726818499574
509,1(classical),592,1(classical),1.3471815409832644
510,1(classical),584,1(classical),1.8783445695077285
511,1(classical),596,1(classical),1.4994242513691554
512,1(classical),626,9(rock),2.0945774332241833
513,1(classical),555,1(classical),1.332828373227642
514,1(classical),516,1(classical),1.1027687368707506
515,1(classical),531,1(classical),2.173017048207281
516,1(classical),514,1(classical),1.1027687368707506
517,1(classical),699,9(rock),1.5258918159256363
518,1(classical),570,1(classical),1.6376672070792926
519,1(classical),529,1(classical),1.506614701653994
520,1(classical),587,1(classical),1.9772639603819255
521,1(classical),538,1(classical),2.9954261698909868
522,1(classical),543,1(classical),1.1746025110084475
523,1(classical),906,5(jazz),3.133912028042278
524,1(classical),528,1(classical),1.277054170573923
525,1(classical),653,9(rock),1.751363193127105
526,1(classical),571,1(classical),1.0794428240605596
527,1(classical),696,9(rock),2.477281650017721
528,1(classical),533,1(classical),1.228214079567589
529,1(classical),506,1(classical),1.1707337154281627
530,1(classical),598,1(classical),1.5163370821615845
531,1(classical),584,1(classical),1.816277494917036
532,1(classical),508,1(classical),2.2874728321818854
533,1(classical),528,1(classical),1.228214079567589
534,1(classical),514,1(classical),1.2047621273288296
535,1(classical),526,1(classical),1.659218531776373
536,1(classical),574,1(classical),0.9461687347984524
537,1(classical),573,1(classical),1.888981903453306
538,1(classical),589,1(classical),2.060556602674821
539,1(classical),564,1(classical),1.1352586392951656
540,1(classical),587,1(classical),1.071906449285943
541,1(classical),551,1(classical),1.7215546521952299
542,1(classical),543,1(classical),1.1293780078084823
543,1(classical),569,1(classical),1.0709921807970486
544,1(classical),563,1(classical),1.0252890720119516
545,1(classical),598,1(classical),1.7821751274284736
546,1(classical),559,1(classical),1.2763045531237909
547,1(classical),555,1(classical),1.1440667371153495
548,1(classical),563,1(classical),0.9517618343482721
549,1(classical),573,1(classical),1.515493895787235
550,1(classical),571,1(classical),1.0726621307909923
551,1(classical),541,1(classical),1.7215546521952299
552,1(classical),573,1(classical),1.4996792795804288
553,1(classical),560,1(classical),1.6898324337806927
554,1(classical),961,5(jazz),1.6031275300219854
555,1(classical),588,1(classical),0.922032094679349
556,1(classical),587,1(classical),1.1034809787194741
557,1(classical),561,1(classical),1.675960468474476
558,1(classical),550,1(classical),1.1824328673261753
559,1(classical),579,1(classical),1.0623808228603622
560,1(classical),591,1(classical),1.2526280405117374
561,1(classical),568,1(classical),1.4606070224304892
562,1(classical),570,1(classical),1.6784180887925573
563,1(classical),548,1(classical),0.9517618343482721
564,1(classical),539,1(classical),1.1352586392951656
565,1(classical),578,1(classical),2.7201933723972105
566,1(classical),568,1(classical),1.5121861420187577
567,1(classical),570,1(classical),1.3197033688219222
568,1(classical),561,1(classical),1.4606070224304892
569,1(classical),543,1(classical),1.0709921807970486
570,1(classical),567,1(classical),1.3197033688219222
571,1(classical),550,1(classical),1.0726621307909923
572,1(classical),569,1(classical),1.232261754077113
573,1(classical),552,1(classical),1.4996792795804288
574,1(classical),536,1(classical),0.9461687347984524
575,1(classical),570,1(classical),1.40839998595835
576,1(classical),567,1(classical),1.7559961508406958
577,1(classical),583,1(classical),1.4896821515463026
578,1(classical),598,1(classical),1.1214928546476128
579,1(classical),588,1(classical),0.9702453955703055
580,1(classical),500,1(classical),1.1982248735600192
581,1(classical),599,1(classical),1.095702799277433
582,1(classical),550,1(classical),1.6372961648668352
583,1(classical),577,1(classical),1.4896821515463026
584,1(classical),531,1(classical),1.816277494917036
585,1(classical),931,5(jazz),1.9644876481942117
586,1(classical),580,1(classical),1.3905762281834069
587,1(classical),540,1(classical),1.071906449285943
588,1(classical),555,1(classical),0.922032094679349
589,1(classical),904,5(jazz),1.9957881593278877
590,1(classical),512,1(classical),3.759385445448104
591,1(classical),560,1(classical),1.2526280405117374
592,1(classical),509,1(classical),1.3471815409832644
593,1(classical),577,1(classical),1.7599346603778634
594,1(classical),807,2(country),1.7084785775512557
595,1(classical),579,1(classical),1.2375511899013358
596,1(classical),599,1(classical),1.3725042033025585
597,1(classical),543,1(classical),1.3122459506727777
598,1(classical),579,1(classical),1.0526851055141224
599,1(classical),581,1(classical),1.095702799277433
600,9(rock),388,0(blues),1.8203033598876568
601,9(rock),517,1(classical),1.632768682629108
602,9(rock),652,9(rock),2.0555418260276084
